ID	Cancer	PAX5	ZCCHC7	Type	Label
SJAML040588_D1	AML	0.2531	0.8691	WT	xAML-WT
SJAML040589_D1	AML	0.3129	5.4534	WT	xAML-WT
SJAML040590_D1	AML	0.347	3.4833	WT	xAML-WT
SJAML040591_D1	AML	1.4406	4.2838	WT	xAML-WT
SJAML040592_D1	AML	0.8459	7.4884	WT	xAML-WT
SJAML040593_D1	AML	0.1591	5.7746	WT	xAML-WT
SJAML040594_D1	AML	1.2731	9.7172	WT	xAML-WT
SJAML040596_D1	AML	0.4685	2.2563	WT	xAML-WT
SJAML040597_D1	AML	0.6207	12.8304	WT	xAML-WT
SJAML040598_D1	AML	1.0167	4.5511	WT	xAML-WT
SJAML040599_D1	AML	0.9739	5.5958	WT	xAML-WT
SJAML040600_D1	AML	6.6653	11.6687	WT	xAML-WT
SJAML040601_D1	AML	0.6307	7.7446	WT	xAML-WT
SJAML040602_D1	AML	0.0015	1.3193	WT	xAML-WT
SJAML040603_D1	AML	0.531	3.0351	WT	xAML-WT
SJAML040604_D2	AML	0.8204	4.7604	WT	xAML-WT
SJAML040605_D1	AML	1.2785	2.9372	WT	xAML-WT
SJAML040606_D1	AML	3.6751	10.3971	WT	xAML-WT
SJAML040607_D1	AML	0.4655	3.8379	WT	xAML-WT
SJAML040608_D1	AML	0.2823	6.2645	WT	xAML-WT
SJAML040609_D1	AML	0.5329	10.9002	WT	xAML-WT
SJAML040610_D1	AML	0.6718	6.5044	WT	xAML-WT
SJAML040611_D1	AML	7.0884	8.2387	WT	xAML-WT
SJAML040612_D1	AML	0.1439	8.8402	WT	xAML-WT
SJAML040613_D1	AML	0.2745	3.8756	WT	xAML-WT
SJAML040614_D1	AML	0.055	2.1365	WT	xAML-WT
SJAML040615_D1	AML	3.9525	8.5604	WT	xAML-WT
SJAML040616_D1	AML	1.2654	17.4002	WT	xAML-WT
SJAML040617_D1	AML	0.4777	2.7915	WT	xAML-WT
SJAML040619_D1	AML	0.6584	6.9597	WT	xAML-WT
SJAML040620_D1	AML	2.1369	3.6935	WT	xAML-WT
SJAML040621_D1	AML	0.2037	1.1614	WT	xAML-WT
SJAML040622_D1	AML	2.3631	6.9669	WT	xAML-WT
SJAML040623_D1	AML	7.4713	14.7645	WT	xAML-WT
SJAML040625_D2	AML	0.5942	10.2727	WT	xAML-WT
SJAML040626_D1	AML	0.2385	2.6473	WT	xAML-WT
SJAML040627_D1	AML	0.0512	2.1335	WT	xAML-WT
SJAML040628_D1	AML	6.8376	8.1475	WT	xAML-WT
SJAML040629_D1	AML	0.9216	6.5801	WT	xAML-WT
SJAML040630_D1	AML	0.2618	2.5545	WT	xAML-WT
SJAML040632_D1	AML	7.2625	3.5667	WT	xAML-WT
SJAML040633_D1	AML	1.9104	6.451	WT	xAML-WT
SJAML040634_D1	AML	3.0133	11.2209	WT	xAML-WT
SJAML040635_D1	AML	0.267	1.3306	WT	xAML-WT
SJAML040638_D1	AML	4.3103	8.4988	WT	xAML-WT
SJAML040639_D1	AML	35.1536	42.9808	WT	xAML-WT
SJAML040640_D1	AML	0.4371	4.9974	WT	xAML-WT
SJAML040641_D1	AML	0.5979	5.3217	WT	xAML-WT
SJAML040643_D1	AML	1.286	9.7898	WT	xAML-WT
SJAML040644_D1	AML	1.7751	1.398	WT	xAML-WT
SJAML040645_D1	AML	0.529	8.928	WT	xAML-WT
SJAML040646_D1	AML	0.0504	4.5918	WT	xAML-WT
SJAML040647_D1	AML	10.6134	7.6249	WT	xAML-WT
SJAML040648_D1	AML	1.0891	4.7865	WT	xAML-WT
SJAML040649_D1	AML	1.5673	6.4392	WT	xAML-WT
SJAML040650_D1	AML	1.3102	6.6254	WT	xAML-WT
SJAML040651_D1	AML	4.1086	4.5683	WT	xAML-WT
SJAML040652_D1	AML	15.2646	36.1057	WT	xAML-WT
SJAML040653_D1	AML	0.0228	3.3775	WT	xAML-WT
SJAML040654_D1	AML	0.1228	4.8038	WT	xAML-WT
SJAML040655_D1	AML	0.094	4.7992	WT	xAML-WT
SJAML040656_D1	AML	2.9024	7.2287	WT	xAML-WT
SJAML040657_D1	AML	1.2805	5.5035	WT	xAML-WT
SJAML040659_D1	AML	1.7449	3.2565	WT	xAML-WT
SJAML040660_D1	AML	0.3067	3.0718	WT	xAML-WT
SJAML040661_D1	AML	0.0193	8.0742	WT	xAML-WT
SJAML040662_D1	AML	1.2318	7.4092	WT	xAML-WT
SJAML040663_D1	AML	0.691	2.639	WT	xAML-WT
SJAML040664_D1	AML	0.7478	2.4087	WT	xAML-WT
SJAML040665_D2	AML	7.1007	18.5894	WT	xAML-WT
SJAML040666_D1	AML	0.4155	4.9687	WT	xAML-WT
SJAML040667_D1	AML	24.8392	114.4628	WT	xAML-WT
SJAMLM7001_D	AML	18.0026	8.51107	WT	xAML-WT
SJAMLM7003_D	AML	2.34241	7.48056	WT	xAML-WT
SJAMLM7004_D	AML	1.08967	9.23447	WT	xAML-WT
SJAMLM7005_D	AML	3.49364	9.17128	WT	xAML-WT
SJAMLM7006_D	AML	2.1624	13.47	WT	xAML-WT
SJAMLM7007_D	AML	5.22898	13.4949	WT	xAML-WT
SJAMLM7008_D	AML	18.0026	8.87018	WT	xAML-WT
SJAMLM7009_D	AML	0.0274235	8.65753	WT	xAML-WT
SJAMLM7010475_D1	AML	1.47403	5.85976	WT	xAML-WT
