geneName,rowMean,rowSD,AnovaP_genetic,FDR_genetic,Rank_genetic,AnovaP_OPP,FDR_OPP,Rank_OPP,Rank_genetic_GSEA,Rank_OPP_GSEA
ELOVL5,12.8219731487348,0.112039818551004,0.00740186718693526,0.028257171303836,-1.54887131554557,0.00036301584404462,0.00174583732843692,2.75799622492223,-2.13065871179679,3.44007441950663
TXNDC15,11.6894560353319,0.0635617937749635,0.000103410479270746,0.00134628065834981,2.87086439355429,0.000764350920389228,0.0031392729390295,-2.50317092362417,3.98543544906746,-3.11670720713304
CDC42SE2,11.6667650120454,0.323850240173366,0.602235497103463,0.714763126030708,-0.145837860439561,0.00218307433640544,0.00721046288860344,-2.14203685407206,-0.220233649783379,-2.66093147577
TMEM41B,11.5357996864145,0.337720599463611,0.730455066226008,0.815037414759239,-0.0888224542655287,0.450626225446347,0.549481551256514,0.260046884354223,-0.136406494432351,0.346183536901571
C8orf33,12.0001841552665,0.1382336007813,0.918948117423383,0.944021645845556,-0.0250180474778796,0.00709816472897633,0.0186667557849577,1.72893115431223,-0.036709007604957,2.14885392608517
NUDT18,11.4551976602148,0.154367802394412,0.275528283140988,0.410773080467957,0.38639802512172,0.342922002476049,0.440862929841549,-0.355696417485995,0.559833813938872,-0.464804648896782
SEC61B,13.3709855493233,0.09380002997239,0.207308667763889,0.336718011052034,-0.472733652571502,0.0231207761767351,0.0497270965007167,1.30340689790692,-0.683382539279364,1.63599759051038
MRTFA,11.465203718755,0.210798895686776,0.976699012818781,0.983786258057906,-0.007099248143128,0.92629923134955,0.951512948234942,0.0215852974361052,-0.0102392512364513,0.0332486963294787
NDUFA4,13.80457576834,0.500293443405826,0.158731848965641,0.275887233938251,-0.559268395057041,1.76631729731312e-05,0.000157496625677086,3.80272874641736,-0.799335924900563,4.75293127805495
VRK2,11.9373287927534,0.0859468810469691,0.00209362843396992,0.0112125919049734,-1.95029398420121,0.327681721541336,0.424146456351659,0.372484157079974,-2.67910039209134,0.484547783381534
MRPL20,12.3248002600287,0.289012249403739,0.00292355541721804,0.0141218044582519,-1.85010980638678,0.0149315848499306,0.0346380396518715,1.46044669495914,-2.53408866951478,1.82589409347723
RPL29,16.3121357484033,0.360889515109839,0.0168257062472588,0.0526610769566856,-1.27851026350638,9.17754453672633e-08,3.46587270151665e-06,-5.46018739258694,-1.77402669751408,-7.03727349927752
ITIH1,13.0173954014141,0.263943289506366,0.179988898213397,0.302890885066844,0.518713795748474,3.20779966384344e-06,4.13005263784781e-05,-4.38404441319077,0.744754281526428,-5.49379276245898
DHX34,11.509400596608,0.0670487860865452,0.616386249085662,0.725758774714342,0.139207704670272,0.697757292270171,0.771846102325996,-0.112469284603939,0.210147058488387,-0.156295615998562
NCAPH2,11.9955140098828,0.0484567841341075,0.186794445592971,0.311789493846441,0.5061385230195,0.445119353224873,0.544576702754394,-0.263940941919357,0.728636041832838,-0.351523522733772
COMMD1,11.5721225795926,0.203395725777458,0.354129399543414,0.488795645271425,-0.310872671920606,0.513486327480194,0.610336907645979,0.214430367054154,-0.450838016959869,0.289471115803721
