Sample	 Source	 Position	 Absorbance	 Fraction.Number
460174	74793	34.75	0.149113	-100
459760	74805	34.79	0.151283	-100
459240	74810	34.83	0.153735	-100
459059	74806	34.87	0.154432	-100
459422	74799	34.91	0.152623	-100
459152	74782	34.95	0.153361	-100
458683	74785	34.99	0.155534	-100
458527	74767	35.02	0.155738	-100
458194	74791	35.06	0.157881	-100
458599	74863	35.1	0.158042	-100
458411	74887	35.14	0.159537	-100
458307	74949	35.18	0.161694	-100
457388	74836	35.22	0.162714	-100
457066	74801	35.26	0.163198	-100
457362	74788	35.3	0.161518	-100
457387	74781	35.34	0.161214	-100
456981	74798	35.38	0.163496	-100
456389	74791	35.41	0.165957	-100
456278	74797	35.45	0.166619	-100
456281	74782	35.49	0.166195	-100
456382	74795	35.54	0.166098	-100
456164	74819	35.57	0.167732	-100
455904	74830	35.61	0.1692	-100
456686	74947	35.65	0.16889	-100
456460	74930	35.69	0.169438	-100
455751	74850	35.73	0.170433	-100
455479	74823	35.77	0.170916	-100
455107	74771	35.81	0.171166	-100
455365	74775	35.85	0.170116	-100
455710	74801	35.89	0.169277	-100
455760	74783	35.93	0.16856	-100
455673	74800	35.96	0.169416	-100
455588	74782	36	0.169305	-100
455525	74807	36.04	0.170272	-100
455878	74828	36.08	0.169262	-100
455693	74812	36.12	0.169655	-100
455453	74807	36.16	0.170596	-100
455731	74800	36.2	0.169156	-100
456174	74819	36.24	0.167687	-100
456367	74834	36.28	0.167232	-100
456222	74830	36.32	0.167773	-100
456272	74847	36.36	0.168013	-100
456525	74823	36.4	0.166223	-100
456392	74801	36.43	0.166217	-100
455577	74807	36.47	0.170039	-100
456450	74809	36.51	0.166176	-100
456816	74790	36.55	0.164017	-100
457078	74787	36.59	0.162761	-100
457317	74819	36.63	0.162567	-100
457383	74798	36.67	0.161697	-100
457352	74828	36.71	0.162657	-100
457751	74826	36.75	0.160818	-100
457704	74800	36.79	0.160317	-100
458213	74830	36.83	0.158863	-100
458228	74789	36.87	0.157674	-100
458399	74792	36.9	0.156993	-100
458818	74783	36.94	0.154878	-100
458994	74780	36.98	0.154011	-100
459129	74797	37.02	0.153874	-100
459400	74792	37.06	0.15253	-100
459478	74775	37.1	0.151717	-100
459897	74807	37.14	0.150728	-100
460578	74835	37.18	0.148466	-100
460638	74798	37.22	0.147188	-100
461211	74797	37.26	0.144617	-100
461142	74799	37.3	0.144977	-100
461198	74815	37.34	0.145167	-100
461612	74779	37.38	0.142346	-100
461883	74776	37.41	0.141063	-100
462246	74778	37.45	0.13951	-100
462488	74798	37.49	0.138987	-100
454314	74770	37.53	0.174707	-100
462968	74797	37.57	0.136837	-100
