Sample	 Source	 Position	 Fraction Number	 Absorbance
191624	74706	25.9	-100	1.939265
191303	74670	25.94	-100	1.941709
191089	74693	25.98	-100	1.94463
191387	74697	26.02	-100	1.941551
191789	74703	26.06	-100	1.937422
191891	74673	26.1	4	1.935512
192041	74663	26.13	-100	1.933639
192417	74676	26.18	-100	1.929993
193248	74683	26.21	-100	1.921368
193966	74720	26.25	-100	1.914793
194693	74713	26.29	-100	1.906947
195383	74679	26.33	-100	1.898777
196280	74656	26.37	-100	1.888774
197267	74656	26.41	-100	1.878511
198411	74677	26.45	-100	1.867255
199573	74705	26.49	-100	1.856074
200932	74718	26.53	-100	1.842544
201939	74702	26.56	-100	1.831877
203132	74691	26.61	-100	1.819523
204366	74694	26.64	-100	1.807213
205497	74663	26.68	-100	1.795072
207092	74700	26.72	-100	1.780266
208451	74678	26.76	-100	1.76628
209901	74677	26.8	-100	1.752069
211396	74688	26.84	-100	1.737848
212780	74698	26.88	-100	1.72477
214343	74718	26.92	-100	1.710343
215894	74684	26.96	-100	1.694659
217485	74690	26.99	-100	1.6798
219155	74689	27.03	-100	1.664121
220749	74678	27.08	-100	1.648992
222634	74680	27.12	-100	1.631649
224444	74690	27.15	-100	1.615355
226333	74694	27.19	-100	1.598316
227922	74688	27.23	-100	1.583837
229798	74661	27.27	-100	1.566325
231845	74693	27.31	-100	1.549056
233697	74693	27.35	-100	1.532776
235606	74681	27.39	-100	1.515802
237381	74693	27.43	-100	1.500773
239476	74710	27.47	-100	1.48326
241243	74677	27.51	-100	1.467314
243374	74693	27.54	-100	1.449758
245658	74694	27.59	-100	1.430672
247551	74714	27.63	-100	1.415514
250315	74721	27.67	-100	1.392986
252144	74709	27.72	-100	1.377762
254061	74716	27.75	-100	1.362456
256226	74671	27.79	-100	1.343861
258204	74713	27.83	-100	1.329277
260721	74735	27.87	-100	1.31003
262504	74717	27.91	-100	1.295592
264300	74696	27.95	-100	1.281066
266354	74706	27.99	-100	1.2655
268660	74689	28.03	-100	1.247396
271139	74695	28.07	-100	1.228767
273059	74731	28.11	-100	1.215315
274982	74699	28.14	-100	1.200079
277229	74684	28.19	-100	1.183017
279160	74674	28.22	-100	1.16854
281486	74667	28.26	-100	1.151371
283466	74719	28.3	-100	1.138453
285318	74719	28.34	-100	1.125128
287601	74713	28.38	-100	1.108657
289983	74706	28.42	-100	1.091589
291773	74722	28.46	-100	1.079435
293367	74715	28.5	-100	1.068096
295093	74675	28.54	-100	1.054997
297226	74685	28.57	-100	1.040535
299463	74675	28.62	-100	1.024919
301118	74667	28.65	-100	1.013423
302843	74710	28.69	-100	1.002913
304600	74695	28.73	-100	0.990665
306366	74704	28.77	-100	0.979083
308834	74722	28.81	-100	0.963159
310231	74677	28.85	-100	0.952692
311663	74705	28.89	-100	0.944036
313315	74695	28.93	-100	0.932945
314937	74677	28.97	-100	0.921887
317447	74673	29	-100	0.905535
318835	74670	29.04	-100	0.896526
320547	74676	29.09	-100	0.885733
321845	74676	29.12	-100	0.877464
323163	74695	29.16	-100	0.869623
325378	74674	29.2	-100	0.855071
326610	74685	29.24	-100	0.84764
327418	74665	29.28	-100	0.842036
329028	74694	29.32	-100	0.832794
330549	74720	29.36	-100	0.82407
332209	74690	29.4	-100	0.812998
333050	74672	29.44	-100	0.807332
334193	74656	29.48	-100	0.799883
335289	74687	29.51	-100	0.794033
336686	74673	29.56	-100	0.785142
338677	74682	29.59	-100	0.773325
339743	74674	29.63	-100	0.766675
340735	74663	29.67	-100	0.760408
341958	74696	29.71	-100	0.753982
343502	74689	29.75	-100	0.744572
344744	74694	29.79	-100	0.737324
346159	74704	29.83	-100	0.729217
347246	74679	29.87	-100	0.722117
348088	74647	29.91	-100	0.716285
350171	74709	29.95	-100	0.705776
351680	74701	29.99	-100	0.696758
353009	74672	30.02	-100	0.688246
354341	74686	30.06	-100	0.680924
354842	74668	30.1	-100	0.67754
356766	74668	30.14	-100	0.666475
358077	74660	30.18	-100	0.658751
359246	74683	30.22	-100	0.652712
360475	74683	30.26	-100	0.645725
361329	74672	30.3	-100	0.640581
362921	74650	30.34	-100	0.630983
364308	74680	30.38	-100	0.624001
365537	74700	30.42	-100	0.617657
366508	74687	30.46	-100	0.611873
367609	74691	30.49	-100	0.605846
369388	74703	30.54	-100	0.596296
370593	74717	30.57	-100	0.590016
371468	74679	30.61	-100	0.58415
372674	74691	30.65	-100	0.577846
374097	74707	30.69	-100	0.570487
375733	74675	30.73	-100	0.560682
376755	74680	30.77	-100	0.555261
377265	74666	30.81	-100	0.552109
378435	74655	30.85	-100	0.545472
380652	74680	30.89	-100	0.534205
382011	74717	30.93	-100	0.527927
382871	74687	30.96	-100	0.522504
384137	74661	31.01	-100	0.515037
385668	74690	31.04	-100	0.507693
387463	74677	31.08	-100	0.497836
388590	74665	31.12	-100	0.491564
389127	74664	31.16	-100	0.488711
390302	74670	31.2	-100	0.482706
392062	74679	31.24	-100	0.473747
394211	74708	31.28	-100	0.463357
394920	74694	31.32	-100	0.459297
395773	74677	31.36	-100	0.454416
397153	74739	31.4	-100	0.448992
398239	74702	31.44	-100	0.442392
399791	74665	31.47	-100	0.43342
400804	74671	31.51	-100	0.428406
401912	74688	31.55	-100	0.423223
403452	74723	31.59	-100	0.416357
404703	74733	31.63	-100	0.410296
406431	74715	31.67	-100	0.401085
407381	74682	31.71	-100	0.395404
408612	74678	31.75	-100	0.389121
409699	74667	31.79	-100	0.383384
411033	74681	31.82	-100	0.377116
412908	74711	31.87	-100	0.368625
414008	74647	31.91	-100	0.361428
415057	74624	31.94	-100	0.35562
416103	74662	31.98	-100	0.351512
417729	74667	32.02	-100	0.343669
419058	74690	32.06	-100	0.337799
420034	74677	32.1	-100	0.332683
420651	74669	32.14	-100	0.329461
421482	74660	32.18	-100	0.325176
423393	74669	32.22	-100	0.316167
424264	74638	32.26	-100	0.311112
425169	74664	32.29	-100	0.307465
425840	74652	32.34	-100	0.303909
426391	74646	32.37	-100	0.301099
427669	74632	32.41	-100	0.294592
428669	74652	32.45	-100	0.290361
429914	74681	32.49	-100	0.285222
430552	74690	32.53	-100	0.282434
430992	74687	32.57	-100	0.280262
432533	74717	32.61	-100	0.273781
433307	74683	32.65	5	0.269192
434406	74693	32.69	-100	0.264283
435039	74699	32.73	-100	0.261468
435370	74691	32.77	-100	0.259692
436437	74679	32.8	-100	0.254355
437443	74675	32.84	-100	0.249535
438251	74669	32.89	-100	0.245594
438967	74709	32.92	-100	0.24335
439365	74685	32.96	-100	0.240838
440298	74698	33	-100	0.236854
440877	74714	33.04	-100	0.234603
441101	74681	33.08	-100	0.23266
441967	74698	33.12	-100	0.229113
442747	74706	33.16	-100	0.225724
443234	74699	33.2	-100	0.223283
443814	74696	33.24	-100	0.220525
443910	74675	33.27	-100	0.219507
444259	74682	33.32	-100	0.218091
444688	74682	33.35	-100	0.216116
445438	74681	33.39	-100	0.212641
